"声優","出演数","メイン","メイン率"
"永島由子","81","6","0.07407407407407407"
"村井かずさ","81","1","0.012345679012345678"
"五十嵐裕美","80","11","0.1375"
"鈴木晶子","80","10","0.125"
"深見梨加","80","6","0.075"
"藤田咲","80","15","0.1875"
"間宮くるみ","80","13","0.1625"
"ゆきじ","80","10","0.125"
"横尾まり","80","1","0.0125"
"鈴木富子","79","0","0.0"
"たかはし智秋","79","14","0.17721518987341772"
"よこざわけい子","79","7","0.08860759493670886"
"一龍斎貞友","78","8","0.10256410256410256"
"門脇舞以","78","27","0.34615384615384615"
"鈴木みえ","78","8","0.10256410256410256"
"茅原実里","78","38","0.48717948717948717"
"津村まこと","78","3","0.038461538461538464"
"渡辺菜生子","78","10","0.1282051282051282"
"一城みゆ希","77","0","0.0"
"櫻井浩美","77","4","0.05194805194805195"
"清水香里","77","23","0.2987012987012987"
"巴菁子","77","0","0.0"
"潘めぐみ","77","14","0.18181818181818182"
"小野涼子","76","10","0.13157894736842105"
"堀絢子","76","11","0.14473684210526316"
"本井えみ","76","3","0.039473684210526314"
"青山桐子","75","5","0.06666666666666667"
"麻生美代子","75","2","0.02666666666666667"
"小原乃梨子","75","19","0.25333333333333335"
"鷹森淑乃","75","1","0.013333333333333334"
"千々松幸子","75","4","0.05333333333333334"
"内田真礼","74","36","0.4864864864864865"
"岡本麻弥","74","8","0.10810810810810811"
"日高里菜","74","23","0.3108108108108108"
"小島幸子","73","8","0.1095890410958904"
"高森奈津美","73","12","0.1643835616438356"
"村中知","73","4","0.0547945205479452"
"園崎未恵","72","8","0.1111111111111111"
"冨永みーな","72","21","0.2916666666666667"
"片岡富枝","71","0","0.0"
"荘真由美","71","3","0.04225352112676056"
"千葉千恵巳","71","21","0.29577464788732394"
"日比愛子","71","0","0.0"
"山口奈々","71","0","0.0"
"吉田小南美","71","8","0.11267605633802817"
"浦和めぐみ","70","4","0.05714285714285714"
"斉藤佑圭","70","5","0.07142857142857142"
"佐藤ゆうこ (声優)","70","6","0.08571428571428572"
"里見はるか","70","0","0.0"
"庄司宇芽香","70","2","0.02857142857142857"
"杉本ゆう","70","0","0.0"
"諏訪彩花","70","14","0.2"
"氷青","70","6","0.08571428571428572"
"水田わさび","70","7","0.1"
"三森すずこ","70","42","0.6"
"宮川美保","70","0","0.0"
"池澤春菜","69","21","0.30434782608695654"
"慶長佑香","69","0","0.0"
