"声優","出演数","メイン","メイン率"
"犬山イヌコ","3","3","1.0"
"今村彩夏","15","3","0.2"
"大本眞基子","10","3","0.3"
"大森日雅","12","3","0.25"
"小野早稀","7","3","0.42857142857142855"
"かかずゆみ","14","3","0.21428571428571427"
"金田朋子","21","3","0.14285714285714285"
"木村珠莉","35","3","0.08571428571428572"
"桑原由気","19","3","0.15789473684210525"
"古城門志帆","29","3","0.10344827586206896"
"小桜エツコ","15","3","0.2"
"小林沙苗","27","3","0.1111111111111111"
"近藤唯","18","3","0.16666666666666666"
"斎藤楓子","19","3","0.15789473684210525"
"佐藤亜美菜","9","3","0.3333333333333333"
"真田アサミ","14","3","0.21428571428571427"
"下屋則子","25","3","0.12"
"清水香里","8","3","0.375"
"新谷良子","22","3","0.13636363636363635"
"すずきけいこ","3","3","1.0"
"仙台エリ","14","3","0.21428571428571427"
"タカオユキ","9","3","0.3333333333333333"
"高野直子 (声優)","3","3","1.0"
"高本めぐみ","10","3","0.3"
"田澤茉純","20","3","0.15"
"伊達朱里紗","22","3","0.13636363636363635"
"田中あいみ","31","3","0.0967741935483871"
"田野アサミ","15","3","0.2"
"冬馬由美","10","3","0.3"
"中隈志保","4","3","0.75"
"中津真莉","15","3","0.2"
"野沢雅子","9","3","0.3333333333333333"
"野中藍","22","3","0.13636363636363635"
"PILE","4","3","0.75"
"原奈津子","4","3","0.75"
"原優子","14","3","0.21428571428571427"
"福原綾香","13","3","0.23076923076923078"
"牧口真幸","15","3","0.2"
"MAKO","14","3","0.21428571428571427"
"水野マリコ","10","3","0.3"
"ゆりん","17","3","0.17647058823529413"
"吉岡茉祐","6","3","0.5"
"愛河里花子","20","2","0.1"
"井澤美香子","8","2","0.25"
"伊藤彩沙","5","2","0.4"
"伊東みやこ","17","2","0.11764705882352941"
"稲川英里","9","2","0.2222222222222222"
"井ノ上奈々","4","2","0.5"
"岩崎可苗","2","2","1.0"
"内村史子","14","2","0.14285714285714285"
"うのちひろ","4","2","0.5"
"榎本温子","13","2","0.15384615384615385"
"遠藤ゆりか","9","2","0.2222222222222222"
"桜咲千依","4","2","0.5"
"大橋歩夕","11","2","0.18181818181818182"
"大和田仁美","29","2","0.06896551724137931"
"沖佳苗","21","2","0.09523809523809523"
"尾崎真実","8","2","0.25"
"小野涼子","7","2","0.2857142857142857"
"折笠愛","19","2","0.10526315789473684"
"かないみか","15","2","0.13333333333333333"
"河合久美","2","2","1.0"
"菊池こころ","27","2","0.07407407407407407"
"木下鈴奈","4","2","0.5"
"儀武ゆう子","36","2","0.05555555555555555"
"久保田未夢","9","2","0.2222222222222222"
"小市眞琴","2","2","1.0"
"小平有希","8","2","0.25"
"後藤邑子","9","2","0.2222222222222222"
"斉藤佑圭","20","2","0.1"
"櫻井浩美","56","2","0.03571428571428571"
"佐藤あずさ","12","2","0.16666666666666666"
"篠田みなみ","9","2","0.2222222222222222"
"島本須美","13","2","0.15384615384615385"
"進藤尚美","48","2","0.041666666666666664"
"末柄里恵","13","2","0.15384615384615385"
"鈴木美咲","6","2","0.3333333333333333"
"千本木彩花","13","2","0.15384615384615385"
"曽和まどか","2","2","1.0"
"高尾奏音","5","2","0.4"
"高木美佑","3","2","0.6666666666666666"
"高木礼子","7","2","0.2857142857142857"
"高橋めぐる","6","2","0.3333333333333333"
"たなか久美","2","2","1.0"
"田中真奈美","25","2","0.08"
"千葉千恵巳","7","2","0.2857142857142857"
"津久井彩文","4","2","0.5"
"東城日沙子","13","2","0.15384615384615385"
"戸田めぐみ","27","2","0.07407407407407407"
"中川亜紀子","5","2","0.4"
"永島由子","8","2","0.25"
"中島由貴 (声優)","10","2","0.2"
"中道美穂子","2","2","1.0"
"西口杏里沙","15","2","0.13333333333333333"
"西村ちなみ","8","2","0.25"
"根谷美智子","20","2","0.1"
"能登有沙","8","2","0.25"
"野村真悠華","5","2","0.4"
"橋本ちなみ","33","2","0.06060606060606061"
"久川綾","38","2","0.05263157894736842"
"日高のり子","18","2","0.1111111111111111"
"平山笑美","8","2","0.25"
"堀池円","7","2","0.2857142857142857"
"本渡楓","14","2","0.14285714285714285"
"松井菜桜子","9","2","0.2222222222222222"
"松岡由貴","12","2","0.16666666666666666"
"松田颯水","10","2","0.2"
"松元惠","10","2","0.2"
"瑞沢渓","7","2","0.2857142857142857"
"水野理紗","8","2","0.25"
"水原薫","16","2","0.125"
"美名","17","2","0.11764705882352941"
"皆口裕子","14","2","0.14285714285714285"
"南央美","11","2","0.18181818181818182"
"宮本侑芽","3","2","0.6666666666666666"
"村瀬迪与","10","2","0.2"
"桃井はるこ","6","2","0.3333333333333333"
"桃河りか","2","2","1.0"
"森千早都","6","2","0.3333333333333333"
"森永理科","6","2","0.3333333333333333"
"杜野まこ","5","2","0.4"
"矢口アサミ","6","2","0.3333333333333333"
"やなせなつみ","4","2","0.5"
"柳瀬なつみ","4","2","0.5"
"山崎和佳奈","11","2","0.18181818181818182"
"山田悠希","5","2","0.4"
"優木かな","9","2","0.2222222222222222"
"吉田聖子","10","2","0.2"
"吉田仁美","9","2","0.2222222222222222"
"若井友希","8","2","0.25"
"若林直美","4","2","0.5"
"和氣あず未","9","2","0.2222222222222222"
"渡辺未来 (声優)","5","2","0.4"
"相内沙英","4","1","0.25"
"相川奈都姫","20","1","0.05"
"青山桐子","6","1","0.16666666666666666"
"青山吉能","4","1","0.25"
"朝樹りさ","2","1","0.5"
"麻倉もも","18","1","0.05555555555555555"
"阿部彬名","3","1","0.3333333333333333"
"荒浪和沙","8","1","0.125"
"飯田友子","45","1","0.022222222222222223"
"飯塚麻結","12","1","0.08333333333333333"
"飯塚雅弓","7","1","0.14285714285714285"
"五十嵐浩子","6","1","0.16666666666666666"
"生田善子","6","1","0.16666666666666666"
"池澤春菜","11","1","0.09090909090909091"
"池辺久美子","2","1","0.5"
"石塚さより","4","1","0.25"
"磯村知美","8","1","0.125"
"一龍斎貞友","3","1","0.3333333333333333"
"伊藤実華","2","1","0.5"
"稲村優奈","2","1","0.5"
"井上奈々子","1","1","1.0"
"井上遥乃","7","1","0.14285714285714285"
"いのくちゆか","9","1","0.1111111111111111"
"今井由香","8","1","0.125"
"岩居由希子","3","1","0.3333333333333333"
"内田愛美","7","1","0.14285714285714285"
"宇山玲加","4","1","0.25"
"永野愛理","1","1","1.0"
"榎あづさ","13","1","0.07692307692307693"
"大浦冬華","23","1","0.043478260869565216"
"大関英里","7","1","0.14285714285714285"
"大原桃子","9","1","0.1111111111111111"
"大前愛華","10","1","0.1"
"大山のぶ代","2","1","0.5"
"小笠原早紀","8","1","0.125"
"雄賀多あや","1","1","1.0"
"甲斐田ゆき","19","1","0.05263157894736842"
"海保えりか","1","1","1.0"
"角元明日香","2","1","0.5"
"影山灯","4","1","0.25"
"柏山奈々美","5","1","0.2"
"勝田詩織","5","1","0.2"
"金子有希","8","1","0.125"
"川上千尋","5","1","0.2"
"川庄美雪","7","1","0.14285714285714285"
"河原木志穂","8","1","0.125"
"喜多丘千陽","12","1","0.08333333333333333"
"北川里奈","16","1","0.0625"
"鬼頭明里","12","1","0.08333333333333333"
