"声優","出演数","メイン","メイン率"
"林玉緒","19","1","0.05263157894736842"
"福島おりね","14","1","0.07142857142857142"
"藤巻恵理子","5","1","0.2"
"文月くん","3","1","0.3333333333333333"
"堀絢子","9","1","0.1111111111111111"
"牧野由依","1","1","1.0"
"真柴摩利","18","1","0.05555555555555555"
"松島みのり","14","1","0.07142857142857142"
"水樹奈々","2","1","0.5"
"水野理紗","2","1","0.5"
"水橋かおり","5","1","0.2"
"溝脇しほみ","4","1","0.25"
"三田ゆう子","27","1","0.037037037037037035"
"三橋加奈子","8","1","0.125"
"三輪勝恵","3","1","0.3333333333333333"
"むたあきこ","5","1","0.2"
"安原麗子","3","1","0.3333333333333333"
"山口眞弓","4","1","0.25"
"山田きのこ","4","1","0.25"
"山田ふしぎ","18","1","0.05555555555555555"
"よこざわけい子","4","1","0.25"
"吉住梢","7","1","0.14285714285714285"
"吉田小百合","9","1","0.1111111111111111"
"若林直美","6","1","0.16666666666666666"
"相生千恵子","4","0","0.0"
"相沢恵子","8","0","0.0"
"相田さやか","7","0","0.0"
"青木和代","8","0","0.0"
"青羽美代子","13","0","0.0"
"赤土眞弓","10","0","0.0"
"AKIKO (声優)","1","0","0.0"
"秋田まどか","12","0","0.0"
"秋葉秋","1","0","0.0"
"秋葉好美","1","0","0.0"
"秋元千賀子","11","0","0.0"
"あきやまひかり","6","0","0.0"
"あきやまるな","6","0","0.0"
"浅井晴美","2","0","0.0"
"浅井淑子 (声優)","2","0","0.0"
"麻丘夏未","18","0","0.0"
"朝香雅恵","2","0","0.0"
"朝倉佐知","3","0","0.0"
"浅田葉子","28","0","0.0"
"浅野真澄","1","0","0.0"
"浅野るり","6","0","0.0"
"麻見順子","26","0","0.0"
"亜城めぐ","1","0","0.0"
"東美江","1","0","0.0"
"麻生美代子","10","0","0.0"
"足立朱美","4","0","0.0"
"安達まり","5","0","0.0"
"新千恵子","6","0","0.0"
"尼子真理","4","0","0.0"
"あらいしずか","2","0","0.0"
"荒川美奈子","2","0","0.0"
"有島モユ","3","0","0.0"
"有田麻里","2","0","0.0"
"有馬瑞香","16","0","0.0"
"安藤ありさ","13","0","0.0"
"井浦愛","1","0","0.0"
"五十嵐麗","15","0","0.0"
"池田千草","3","0","0.0"
"池田ひかる","3","0","0.0"
"池田昌子","11","0","0.0"
"池本小百合","13","0","0.0"
"生駒治美","10","0","0.0"
