"声優","出演数","メイン","メイン率"
"桑原由気","19","3","0.15789473684210525"
"國立幸","19","7","0.3684210526315789"
"斎藤楓子","19","3","0.15789473684210525"
"杉浦奈保子","19","0","0.0"
"竹内順子","19","5","0.2631578947368421"
"田所あずさ","19","9","0.47368421052631576"
"田中理恵 (声優)","19","4","0.21052631578947367"
"中村桜","19","1","0.05263157894736842"
"原田ひとみ","19","6","0.3157894736842105"
"本多真梨子","19","5","0.2631578947368421"
"丸山有香","19","0","0.0"
"麻倉もも","18","1","0.05555555555555555"
"楠田亜衣奈","18","5","0.2777777777777778"
"幸田夢波","18","0","0.0"
"高野麻里佳","18","1","0.05555555555555555"
"近藤唯","18","3","0.16666666666666666"
"沢海陽子","18","0","0.0"
"田辺留依","18","4","0.2222222222222222"
"富樫美鈴","18","7","0.3888888888888889"
"冨岡美沙子","18","0","0.0"
"中嶋アキ","18","0","0.0"
"日高のり子","18","2","0.1111111111111111"
"平野文","18","0","0.0"
"渕上舞","18","9","0.5"
"伊東みやこ","17","2","0.11764705882352941"
"牛田裕子","17","0","0.0"
"佐土原かおり","17","4","0.23529411764705882"
"芹澤優","17","7","0.4117647058823529"
"園崎未恵","17","1","0.058823529411764705"
"丹下桜","17","5","0.29411764705882354"
"美名","17","2","0.11764705882352941"
"持月玲依","17","0","0.0"
"山岡ゆり","17","6","0.35294117647058826"
"山崎エリイ","17","9","0.5294117647058824"
"ゆりん","17","3","0.17647058823529413"
"綾瀬有","16","0","0.0"
"荒川美穂","16","5","0.3125"
"石川由依","16","6","0.375"
"川瀬晶子 (声優)","16","0","0.0"
"北川里奈","16","1","0.0625"
"菅谷弥生","16","0","0.0"
"竹内恵美子","16","0","0.0"
"藤堂真衣","16","0","0.0"
"冨樫かずみ","16","1","0.0625"
"内藤有海","16","0","0.0"
"林原めぐみ","16","8","0.5"
"福原香織","16","7","0.4375"
"前田綾香","16","0","0.0"
"真山亜子","16","0","0.0"
"三澤紗千香","16","8","0.5"
"水原薫","16","2","0.125"
"水原リン","16","0","0.0"
"今村彩夏","15","3","0.2"
"緒方恵美","15","4","0.26666666666666666"
"かないみか","15","2","0.13333333333333333"
"合田絵利","15","0","0.0"
"小桜エツコ","15","3","0.2"
"庄司宇芽香","15","0","0.0"
"須藤沙織","15","0","0.0"
"粗忽屋後楽園店","15","4","0.26666666666666666"
"粗忽屋所沢店","15","4","0.26666666666666666"
"谷育子","15","0","0.0"
"田野アサミ","15","3","0.2"
"中津真莉","15","3","0.2"
"西口杏里沙","15","2","0.13333333333333333"
"深田愛衣","15","1","0.06666666666666667"
"藤田茜","15","1","0.06666666666666667"
"牧口真幸","15","3","0.2"
"松嵜麗","15","4","0.26666666666666666"
"山口由里子","15","4","0.26666666666666666"
"相坂優歌","14","8","0.5714285714285714"
"今井麻美","14","5","0.35714285714285715"
"内村史子","14","2","0.14285714285714285"
"小見川千明","14","6","0.42857142857142855"
"かかずゆみ","14","3","0.21428571428571427"
"花藤蓮","14","0","0.0"
"鹿野優以","14","0","0.0"
"小松由佳 (声優)","14","0","0.0"
"笹本菜津枝","14","0","0.0"
"定岡小百合","14","0","0.0"
"真田アサミ","14","3","0.21428571428571427"
"篠原恵美","14","0","0.0"
"仙台エリ","14","3","0.21428571428571427"
"東條加那子","14","0","0.0"
"中島愛 (声優)","14","5","0.35714285714285715"
"中村千絵","14","1","0.07142857142857142"
"新田早規","14","0","0.0"
"原優子","14","3","0.21428571428571427"
"原由実","14","6","0.42857142857142855"
"比嘉久美子","14","1","0.07142857142857142"
"日野未歩","14","1","0.07142857142857142"
"福沙奈恵","14","1","0.07142857142857142"
"藤田麻美","14","0","0.0"
"本渡楓","14","2","0.14285714285714285"
"MAKO","14","3","0.21428571428571427"
"水沢史絵","14","4","0.2857142857142857"
"皆口裕子","14","2","0.14285714285714285"
"榎あづさ","13","1","0.07692307692307693"
"榎本温子","13","2","0.15384615384615385"
"岡田恵","13","0","0.0"
"門脇舞以","13","7","0.5384615384615384"
"川崎芽衣子","13","0","0.0"
"岸本百恵","13","0","0.0"
"倉田雅世","13","1","0.07692307692307693"
"後藤麻衣 (声優)","13","4","0.3076923076923077"
"島本須美","13","2","0.15384615384615385"
"しもがまちあき","13","0","0.0"
"下田麻美","13","6","0.46153846153846156"
"下山田綾華","13","0","0.0"
"末柄里恵","13","2","0.15384615384615385"
"杉本ゆう","13","0","0.0"
"鈴木真仁","13","0","0.0"
"鈴木れい子","13","0","0.0"
"千本木彩花","13","2","0.15384615384615385"
"粗忽屋浜田山店","13","9","0.6923076923076923"
"高山みなみ","13","5","0.38461538461538464"
"瀧本富士子","13","0","0.0"
"橘U子","13","0","0.0"
"田中真弓","13","9","0.6923076923076923"
"東城日沙子","13","2","0.15384615384615385"
"中島沙樹","13","1","0.07692307692307693"
"西原久美子","13","1","0.07692307692307693"
"新田恵海","13","8","0.6153846153846154"
"氷上恭子","13","0","0.0"
"福原綾香","13","3","0.23076923076923078"
"三咲麻里","13","0","0.0"
"森優子 (声優)","13","0","0.0"
"八百屋杏","13","0","0.0"
"天野由梨","12","0","0.0"
"飯塚麻結","12","1","0.08333333333333333"
"大津愛理","12","0","0.0"
"大森日雅","12","3","0.25"
"片貝薫","12","0","0.0"
"勝生真沙子","12","0","0.0"
"喜多丘千陽","12","1","0.08333333333333333"
"鬼頭明里","12","1","0.08333333333333333"
"京田尚子","12","0","0.0"
"後藤友香里","12","0","0.0"
"佐藤あずさ","12","2","0.16666666666666666"
"里見はるか","12","0","0.0"
"設楽麻美","12","0","0.0"
"下田レイ","12","0","0.0"
"たかしたみか","12","0","0.0"
"高野麻美","12","1","0.08333333333333333"
"高山ゆうこ","12","0","0.0"
"仲谷明香","12","4","0.3333333333333333"
"野田順子","12","0","0.0"
"長谷美希","12","0","0.0"
"花守ゆみり","12","4","0.3333333333333333"
"槇原千夏","12","0","0.0"
"松岡由貴","12","2","0.16666666666666666"
"宮川美保","12","0","0.0"
"山下七海","12","4","0.3333333333333333"
"佳村はるか","12","4","0.3333333333333333"
"浅野まゆみ","11","0","0.0"
"池澤春菜","11","1","0.09090909090909091"
"伊藤美来","11","5","0.45454545454545453"
"大橋歩夕","11","2","0.18181818181818182"
"木村亜希子","11","1","0.09090909090909091"
"清都ありさ","11","1","0.09090909090909091"
"黒沢ともよ","11","7","0.6363636363636364"
"小林優子","11","1","0.09090909090909091"
"佐々木日菜子","11","0","0.0"
"庄子裕衣","11","0","0.0"
"土井美加","11","1","0.09090909090909091"
"長尾明希","11","0","0.0"
"長縄まりあ","11","4","0.36363636363636365"
"奈波果林","11","0","0.0"
"根本圭子","11","0","0.0"
"畑中万里江","11","0","0.0"
"日比愛子","11","0","0.0"
"深川芹亜","11","1","0.09090909090909091"
"藤田奈央","11","1","0.09090909090909091"
"堀越真己","11","0","0.0"
"間宮くるみ","11","0","0.0"
"味里","11","1","0.09090909090909091"
"皆瀬まりか","11","0","0.0"
"南央美","11","2","0.18181818181818182"
"山崎和佳奈","11","2","0.18181818181818182"
"渡辺久美子","11","4","0.36363636363636365"
"相沢舞","10","5","0.5"
"あいざわゆりか","10","0","0.0"
"阿久津加菜","10","0","0.0"
"石川静 (声優)","10","7","0.7"
"上田のりこ","10","0","0.0"
"江森浩子","10","0","0.0"
"大前愛華","10","1","0.1"
"大本眞基子","10","3","0.3"
"奥野香耶","10","4","0.4"
"尾高もえみ","10","0","0.0"
"嘉山未紗","10","0","0.0"
"木村はるか","10","0","0.0"
"楠浩子","10","0","0.0"
"齋藤彩夏","10","8","0.8"
"榊原良子","10","0","0.0"
"さとうあい","10","0","0.0"
"佐藤はな","10","0","0.0"
"清水彩香","10","0","0.0"
"白石晴香","10","4","0.4"
"白川愛実","10","0","0.0"
"高本めぐみ","10","3","0.3"
"田中美海","10","4","0.4"
"民安ともえ","10","9","0.9"
"田村奈央","10","4","0.4"
"冬馬由美","10","3","0.3"
"長久友紀","10","0","0.0"
"長沢美樹","10","0","0.0"
"中島由貴 (声優)","10","2","0.2"
"野村香菜子","10","1","0.1"
"蓮未エリナ","10","0","0.0"
"秦佐和子","10","4","0.4"
"平松晶子","10","1","0.1"
"福井美樹","10","0","0.0"
"北條紗彩","10","0","0.0"
"松田颯水","10","2","0.2"
"松田利冴","10","0","0.0"
"松元惠","10","2","0.2"
"丸塚香奈","10","0","0.0"
"水野マリコ","10","3","0.3"
"麦穂あんな","10","6","0.6"
"村瀬迪与","10","2","0.2"
"もものはるな","10","1","0.1"
"森永千才","10","1","0.1"
"山川琴美","10","0","0.0"
"吉田麻実","10","0","0.0"
"吉田小百合","10","0","0.0"
"吉田聖子","10","2","0.2"
"茜屋日海夏","9","3","0.3333333333333333"
"稲川英里","9","2","0.2222222222222222"
"いのくちゆか","9","1","0.1111111111111111"
"岩男潤子","9","0","0.0"
"遠藤ゆりか","9","2","0.2222222222222222"
"大原桃子","9","1","0.1111111111111111"
"亀井芳子","9","0","0.0"
"川島悠美","9","0","0.0"
"川村万梨阿","9","0","0.0"
"久保田民絵","9","0","0.0"
"久保田未夢","9","2","0.2222222222222222"
"國府田マリ子","9","0","0.0"
"こおろぎさとみ","9","0","0.0"
"後藤邑子","9","2","0.2222222222222222"
"小林真麻","9","0","0.0"
"齋藤綾","9","1","0.1111111111111111"
"紗上唄菜","9","0","0.0"
"佐久間レイ","9","0","0.0"
"佐々木智代","9","0","0.0"
"佐藤亜美菜","9","3","0.3333333333333333"
"佐藤恵 (声優)","9","0","0.0"
"篠田みなみ","9","2","0.2222222222222222"
"タカオユキ","9","3","0.3333333333333333"
"高梁碧","9","1","0.1111111111111111"
"知桐京子","9","0","0.0"
"中恵光城","9","0","0.0"
"中村繪里子","9","4","0.4444444444444444"
"七瀬亜深","9","0","0.0"
"新田ひより","9","1","0.1111111111111111"
"野沢雅子","9","3","0.3333333333333333"
"原島梢","9","0","0.0"
"藤村鼓乃美","9","0","0.0"
"藤村知可","9","0","0.0"
